Plot,Tag,StemTag,Quadrat,GenusSpecies,QX,QY,PX,PY,DBH_Cen2017,DBH_Cen2022,Codes,HOM,ExactDate,tag_stem,tag_stem_Q
MST,160521,1,1601,Alphonsea boniana,2.01,9.18,2.01,9.18,51.9,52.8,NA,1.3,4/2/2021,160521_1,160521_1_1601
MST,162258,1,1610,Walsura robusta,4.04,3.66,4.04,183.66,6.2,7.3,NA,1.3,14/2/2021,162258_1,162258_1_1610
MST,184038,1,1823,Glycosmis mauritiana,4.62,1.7,44.62,441.7,5.6,5.6,NA,1.3,29/3/2021,184038_1,184038_1_1823
MST,192374,2,1911,Phoebe lanceolata,5.98,19.94,65.98,219.94,5.1,6.1,NA,1.3,8/4/2021,192374_2,192374_2_1911
MST,193590,1,1921,Gonocaryum lobbianum,3.63,6.66,63.63,406.66,6.2,6.2,NA,1.3,16/4/2021,193590_1,193590_1_1921
MST,202938,1,2014,Polyalthia affevecta,19.93,6.44,99.93,266.44,5.5,4.7,L,1.3,25/5/2021,202938_1,202938_1_2014
MST,203274,2,2017,Polyalthia affevecta,7.08,18.58,87.08,338.58,5.2,5.3,NA,1.3,7/5/2021,203274_2,203274_2_2017
MST,203393,1,2018,Polyalthia affevecta,10.99,2.04,90.99,342.04,6.3,6.5,IC,1.3,9/5/2021,203393_1,203393_1_2018
MST,214232,1,2124,Walsura robusta,4.87,13.99,104.87,473.99,10.1,13.1,NA,1.3,30/5/2021,214232_1,214232_1_2124
MST,21465,1,2102,Beilschmiedia maingayi,0.8,19.6,100.8,39.6,11.3,13.1,NA,1.3,13/5/2021,21465_1,21465_1_2102
MST,22041,1,2211,Nephelium melliferum,18.1,12.9,138.1,212.9,22.6,23,NA,1.3,6/6/2021,22041_1,22041_1_2211
MST,220615,1,2201,Walsura robusta,15.55,2.92,135.55,2.92,12.4,13,NA,1.3,1/6/2021,220615_1,220615_1_2201
MST,222029,1,2210,Walsura robusta,11.82,5.33,131.82,185.33,6.6,9.7,NA,1.3,6/6/2021,222029_1,222029_1_2210
MST,224879,1,2224,Walsura robusta,15.3,5.37,135.3,465.37,5.3,5.4,NA,1.3,16/6/2021,224879_1,224879_1_2224
MST,23082,1,2312,Sloanea sigun,5.3,17,145.3,237,34.6,35.8,NA,1.3,26/6/2021,23082_1,23082_1_2312
MST,231491,1,2307,Ardisia sanguinolenta,11.1,12.43,151.1,132.43,8.3,9.6,NA,1.3,22/6/2021,231491_1,231491_1_2307
